date,daodong
2-1-2024,0.88
3-1-2024,1.05
4-1-2024,0.6
5-1-2024,0.615
8-1-2024,0.73
9-1-2024,0.475
10-1-2024,0.61
11-1-2024,0.645
12-1-2024,1.33
15-1-2024,0.885
16-1-2024,0.72
17-1-2024,0.45
18-1-2024,0.49
19-1-2024,0.435
22-1-2024,0.8
23-1-2024,0.425
24-1-2024,0.515
25-1-2024,0.45
26-1-2024,0.66
29-1-2024,0.69
30-1-2024,0.33
31-1-2024,0.775
1-2-2024,0.455
2-2-2024,0.595
5-2-2024,2.28
6-2-2024,0.37
7-2-2024,0.365
15-2-2024,1.365
16-2-2024,0.46
19-2-2024,0.84
20-2-2024,0.49
21-2-2024,0.585
22-2-2024,0.36
23-2-2024,1.1
26-2-2024,0.765
27-2-2024,0.555
28-2-2024,0.615
29-2-2024,0.75
1-3-2024,0.675
4-3-2024,1.0
5-3-2024,0.655
6-3-2024,0.72
7-3-2024,0.37
8-3-2024,0.78
11-3-2024,0.575
12-3-2024,0.3
13-3-2024,1.14
14-3-2024,0.775
15-3-2024,0.59
18-3-2024,0.835
19-3-2024,0.31
20-3-2024,1.075
21-3-2024,0.635
22-3-2024,1.13
25-3-2024,0.69
26-3-2024,0.87
27-3-2024,0.7
28-3-2024,0.43
29-3-2024,0.67
1-4-2024,0.535
2-4-2024,0.795
3-4-2024,0.585
4-4-2024,0.63
5-4-2024,0.37
8-4-2024,0.42
9-4-2024,0.36
10-4-2024,0.57
11-4-2024,0.355
12-4-2024,1.345
15-4-2024,1.37
16-4-2024,0.55
17-4-2024,0.61
19-4-2024,0.41
22-4-2024,0.335
23-4-2024,0.49
24-4-2024,0.515
25-4-2024,0.375
26-4-2024,0.53
2-5-2024,0.405
3-5-2024,0.51
6-5-2024,0.47
7-5-2024,0.42
8-5-2024,0.49
9-5-2024,0.33
10-5-2024,0.375
13-5-2024,0.455
14-5-2024,0.27
15-5-2024,0.18
16-5-2024,0.785
17-5-2024,0.21
20-5-2024,0.435
21-5-2024,0.7
22-5-2024,0.435
23-5-2024,0.61
24-5-2024,2.145
27-5-2024,0.69
28-5-2024,0.66
29-5-2024,0.61
30-5-2024,0.835
31-5-2024,0.825
3-6-2024,0.575
4-6-2024,0.55
5-6-2024,0.7
6-6-2024,0.275
7-6-2024,0.625
10-6-2024,0.6
11-6-2024,0.525
12-6-2024,1.1
13-6-2024,0.775
14-6-2024,0.35
17-6-2024,0.675
18-6-2024,0.525
19-6-2024,0.8
20-6-2024,0.725
21-6-2024,0.55
24-6-2024,1.15
25-6-2024,0.425
26-6-2024,0.95
27-6-2024,0.475
28-6-2024,0.3
1-7-2024,0.45
2-7-2024,0.625
3-7-2024,0.7
4-7-2024,0.675
5-7-2024,0.525
8-7-2024,0.425
